"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp"
"73",25.9,12.7,4.9,14.2,-6.8,2.7,-146.8,2.7,0,0,17.7,27.6,11.9
"74",32.4,16.1,8.2,29.4,-4.9,4.1,-120.4,3.4,3.8,0,42.7,32.6,14.8
"75",35.5,18.9,9.4,34.8,-4.3,5,-103.3,3.7,22.2,0.2,75.8,35.4,16.7
"76",35.4,22,10.2,37.7,-4.5,5.1,-107.2,3.7,29.6,1.7,68.7,35.1,17.1
"77",36.7,29.5,12,45.9,-3.9,5.9,-93.1,4,57.3,1.8,90.1,37.7,19.3
"78",47.6,37.7,17.8,61.8,-2.7,8.2,-74.2,4.5,82.3,13.9,99.8,43.3,21.3
"79",29.4,5.6,4.1,4.3,-8.6,1,-139.7,2.4,6.9,0,3.2,29,12.4
"80",34.8,11.7,7.5,16.6,-6.2,1.8,-110.4,2.9,40.6,0,20,33,15.5
"81",37.7,16.8,9.2,26,-5.6,2.5,-87.7,3.2,58,0,41.9,35.8,17.5
"82",38.4,19.8,9.8,26.1,-5.7,2.5,-91,3.2,58.5,0.5,41,35.9,17.9
"83",40.3,29.3,12,33.1,-5,3.2,-73.1,3.4,80,0.3,58.8,38.7,20.3
"84",51.2,40.5,18.2,52.2,-4,5,-51.7,3.8,96.8,6.4,92.1,44.9,23.7
"85",25.9,8,4.6,15.8,-6.8,1.3,-149.6,2.6,0,0,17.2,27.1,11.7
"86",32.4,15.3,8,30.8,-4.9,2.2,-120.7,3.4,3.8,0,43.2,32.4,14.8
"87",35.4,18.3,9.4,36.9,-4.3,2.6,-101.2,3.7,22.4,0.2,75.7,35.3,16.6
"88",35.4,21,10,39.7,-4.4,2.7,-105.9,3.7,29.2,1.8,69,35.1,16.9
"89",36.7,29.5,11.6,48.2,-3.8,3.2,-92.1,4,56.8,1.8,91.1,37.7,19.3
"90",47.7,38,17.9,66.2,-2.6,4.5,-68.9,4.5,82.8,14.2,99.7,43.4,21.1
"91",29.4,5.6,4.1,4.3,-8.6,1,-139.7,2.4,6.9,0,3.2,29,12.4
"92",34.8,11.7,7.5,16.6,-6.2,1.8,-110.4,2.9,40.6,0,20,33,15.5
"93",37.7,16.8,9.2,26,-5.6,2.5,-87.7,3.2,58,0,41.9,35.8,17.5
"94",38.4,19.8,9.8,26.1,-5.7,2.5,-91,3.2,58.5,0.5,41,35.9,17.9
"95",40.3,29.3,12,33.1,-5,3.2,-73.1,3.4,80,0.3,58.8,38.7,20.3
"96",51.2,40.5,18.2,52.2,-4,5,-51.7,3.8,96.8,6.4,92.1,44.9,23.7
"97",26.5,11.7,3,10.5,-7.2,2.9,-130.9,2.5,0,0,22.6,28.5,11.8
"98",32.8,15.4,7.3,27.1,-5.2,3.8,-112,3.3,1.7,0,44.1,32.3,15.4
"99",35.7,18,9.2,32.3,-4.5,4.9,-98.7,3.6,18.9,0.4,80.2,34.7,16.7
"100",35.6,19.5,9.7,34.3,-4.7,4.7,-100.4,3.5,27.9,1.9,70.2,34.7,17.1
"101",36.5,23.7,12.7,42.2,-4,5.4,-88.3,3.8,55.9,2.3,91,37,19.3
"102",47.5,30.1,15.8,55.9,-2.9,6.9,-75.4,4.3,77.4,15.1,99.3,41.3,20.9
"103",29.9,5.9,3.4,4,-8.1,1,-127.2,2.3,10.5,0,4.4,29.9,13.1
"104",35.3,11,6.5,15.7,-6.3,1.6,-98,2.9,37.3,0,20.5,32.8,15.3
"105",38.1,15.4,9.1,23.3,-5.7,2.4,-86.2,3.1,57.7,0,42.2,35.2,17
"106",38.6,16.7,9.3,23.6,-5.7,2.4,-85.3,3,57.4,0.5,42.1,35.4,17.8
"107",40.2,22.6,12,30.4,-5.1,2.9,-70.7,3.3,79.5,0.2,62.1,37.8,20.6
"108",51,32.4,16.1,47.1,-4.2,4.3,-52.7,3.6,95.6,5.7,86.5,42.9,23.4
"109",26.8,11.7,3,10.5,-7.2,2.9,-123.8,2.6,0,0,25.6,28.2,11.8
"110",33,15.2,7.4,27.5,-5.1,3.8,-107.5,3.2,1.5,0,43.8,32,15.3
"111",35.7,17.7,9.2,31.8,-4.4,4.8,-98.2,3.6,17.9,0.4,81.2,34.4,16.7
"112",35.6,18.9,9.6,32.6,-4.5,4.6,-98.3,3.5,27.2,2,70.8,34.4,17
"113",36.5,22.7,12.2,38.8,-3.8,5.3,-88.3,3.8,56.2,2.7,91.1,36.6,19.4
"114",47.5,28.8,15.6,49.4,-2.7,6.9,-75.9,4.2,74.4,15.1,99.2,41.3,20.9
"115",30,6.1,3.5,3.2,-8,1,-123.9,2.3,9.1,0,4.7,29.6,12.9
"116",35.6,10.8,6.5,13.4,-6,1.6,-92.7,2.8,33.8,0,20.4,32.6,15.2
"117",38.3,14.6,8.9,20.3,-5.5,2.4,-82,3,55.2,0,44.5,34.7,16.9
"118",38.8,16,9.1,20.6,-5.5,2.3,-81.9,3,55.9,0.6,43.5,35,17.7
"119",40.2,21.5,11.3,27.8,-4.9,2.9,-68.7,3.2,79.6,0.3,64.8,37.4,20.7
"120",51.1,31.5,15.9,44,-3.8,4.3,-52.3,3.6,95.3,5.8,87.7,42.5,23.3
"121",26.7,11.7,0,10.5,-7.2,3.6,-123.8,2.6,0,0,28.7,28.3,11.8
"122",32.9,15.9,0,27,-5.2,5.2,-92.3,3.8,0.6,0,52,32,15
"123",35.7,17.9,0,31.4,-4.4,5.8,0,74246.4,9,0.3,89.9,34.3,16.3
"124",35.6,19.1,2.8,32.3,-4.6,5.9,-33.2,55099.4,22.2,1.7,76.1,34.4,16.6
"125",36.5,22.7,6,38.3,-4,6.7,0,87441.9,48,2.1,94.2,36.4,18.9
"126",47.5,28.3,14.1,49.4,-2.8,8.4,0,103153.6,71.3,15.1,98.7,41.3,20.5
"127",29.9,7.9,3.6,4.2,-8.1,1.7,-124.9,2.4,10.7,0,4.4,29.7,13.4
"128",35.5,11.6,6.5,15,-6.3,2.6,-95.7,2.9,35.3,0,18.4,32.5,15.5
"129",38.2,15.3,8.9,20.5,-5.7,3.5,-85.3,3.1,56.6,0,43.2,34.8,17.2
"130",38.6,16.9,9.1,21.1,-5.7,3.4,-84.5,3,57.1,0.4,42.5,35.1,18.1
"131",40.1,22.1,11.6,27,-5.1,4.1,-72.3,3.2,81.6,0.2,63.6,37.5,21
"132",51,30.7,15.8,42.5,-4,6.2,-55.6,3.5,95.6,5.2,87.6,42.5,23.4
