"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.3,3,0,0.8,1,0.5,50,7.3763962201127,0.787793567347672,5.71641782511657,0.119498197049211,0.00613551509642928,0.067524389877143
0.3,3,0,0.8,1,0.625,50,7.4905879170089,0.781458992847955,5.79430284221386,0.311524865064047,0.0172291220610984,0.206182167005876
0.3,3,0,0.8,1,0.75,50,7.40166612909618,0.78635279342383,5.71911211622307,0.0784773130203926,0.0037001121461251,0.0437085016297288
0.3,3,0,0.8,1,0.875,50,7.41104047159828,0.785108106890949,5.74245143961706,0.00409381918693085,0.00122869572333813,0.0141515829327565
0.3,3,0,0.8,1,1,50,7.42785107473633,0.785306765304289,5.74053657953738,0.130437626744097,0.00795761286757191,0.0725119294077398
0.4,3,0,0.6,1,0.5,50,7.39322828055302,0.783486406919568,5.71659109162439,0.0133633319512685,0.000938382944108202,0.0177322354443534
0.4,3,0,0.6,1,0.625,50,7.39287817598024,0.783013533817602,5.71845971581902,0.0683291535190325,0.00308288897304405,0.0401344932668448
0.4,3,0,0.6,1,0.75,50,7.36173699341436,0.785545624498773,5.68648123395562,0.0339886469939705,0.00118013633008417,0.0586936613384619
0.4,3,0,0.6,1,0.875,50,7.37678381661375,0.784841676247917,5.71526505723445,0.0329008484682763,0.00183268538848854,0.00493957153234836
0.4,3,0,0.6,1,1,50,7.33839753470319,0.78727986525628,5.67294690984337,0.0325525076307261,0.00205954072965694,0.0211713951223878
0.4,3,0,0.8,1,0.5,50,7.19358429681082,0.794935899800818,5.57757386732837,0.0134668942684043,0.00050297327788622,0.0088513469807111
0.4,3,0,0.8,1,0.625,50,7.08877736849469,0.801097419265178,5.49745446194178,0.108931488195288,0.00785758430839163,0.0897331666455126
0.4,3,0,0.8,1,0.75,50,7.2091773750756,0.794364307422967,5.58966491799432,0.0332035894333386,0.00116407896565743,0.0124282546239762
0.4,3,0,0.8,1,0.875,50,7.14625593066073,0.797412892940861,5.52190981441543,0.0579420550678678,0.00293183598931721,0.00678583067372674
0.4,3,0,0.8,1,1,50,7.16785850216089,0.796673462081481,5.53673737033926,0.0792065689792336,0.00320149170662691,0.0367328794705917
0.3,4,0,0.6,1,0.5,50,6.60011737827116,0.828804421335503,5.12637580089486,0.0738120262920982,0.00361878234457302,0.0354660512608567
0.3,4,0,0.6,1,0.625,50,6.69558330837141,0.823952641846074,5.18277437102954,0.0239139810134847,0.000272928614570204,0.0150717471147921
0.3,4,0,0.6,1,0.75,50,6.54936864365595,0.831611729766594,5.06571218505701,0.0235701228470667,0.00182264615094282,0.0317926770053852
0.3,4,0,0.6,1,0.875,50,6.61980514809447,0.828822220604994,5.14014334446908,0.170732618943609,0.00826676073927856,0.11897342525302
0.3,4,0,0.6,1,1,50,6.77574013190251,0.820428202553312,5.2569330174227,0.11257746826939,0.00518528040322134,0.0582850967926528
0.3,4,0,0.8,1,0.5,50,6.60040902734319,0.828273208873518,5.10957590416024,0.0598318001560371,0.00267423238346785,0.0511007624349506
