"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year10",0.42702838482793,-4.46511627906976,-31.0344827586207,-23.3674272226593,-2.38095238095236,-13.0824372759857,-16.4992826398852,-12.6027397260274,2.31267345050879,-14.1304347826087,NA,8.48056537102473,0,3.15789473684211,NA,-8.15149625935164,"SE","Dorm. 2","Curitiba","Hyp.","TV","01"
"year11",0.164661177960729,-3.38251169485426,-25.3741496598639,-16.3860103626943,-9.31098696461825,NA,-14.2857142857143,-10.7516650808754,1.98336532309662,-12.0543293718166,NA,7.2536303397716,0,2.84552845528456,NA,-6.41467546883216,"SE","Living","Curitiba","Hyp.","TV","01"
"year12",0.349650349650358,-1.03092783505155,-31.7124735729387,-30.7065217391304,-1.10552763819095,-11.3636363636364,-15.5021834061135,-6.68257756563245,2.23880597014926,-12.6315789473684,Inf,7.03688853247795,0,2.55102040816327,Inf,-6.82178741406662,"SW","Dorm. 1","Curitiba","Hyp.","TV","01"
"year13",0.42702838482793,-4.46096654275093,-31.0344827586207,-23.2704402515723,-2.38095238095236,-12.7049180327869,-16.4992826398852,-12.9032258064516,2.31267345050879,-14.1304347826087,NA,8.44373785550257,0,3.15789473684211,NA,-8.1190587501948,"SW","Dorm. 2","Curitiba","Hyp.","TV","01"
"year14",0.164661177960729,-3.23624595469256,-25.1358695652174,-16.1603102779573,-8.75232774674115,-10.586011342155,-14.2210730446025,NA,1.98336532309662,-12.0338983050847,NA,7.16348524336128,0,2.84552845528456,NA,-6.32881830920131,"SW","Living","Curitiba","Hyp.","TV","01"
"year15",0.128733264675592,-9.02483343428226,0,-11.0371075166508,-6.68953687821612,-6.33036597428288,-1.74216027874564,-3.52941176470588,1.4454664914586,-7.46268656716418,150,3.86279852540472,0,2.03045685279187,150,-3.66274059178396,"W","Dorm. N","Curitiba","Hyp.","TV","01"
"year16",0.17793594306051,5.33141210374638,-42.5101214574899,-515,-1.1842105263158,-12,-5.99999999999999,-1.63265306122448,1.14503816793892,-6.47482014388489,35.4166666666667,3.41901066925314,0,1.16279069767441,35.4166666666667,-3.34826188952868,"W","Dorm. S","Curitiba","Hyp.","TV","01"
"year17",0.0654278984559016,-9.20668058455115,-1.45072536268134,-6.37443241355222,-5.16877637130801,-9.68586387434555,-3.80434782608696,-3.7593984962406,1.9438444924406,-6.10766045548653,Inf,4.4467527328486,10,2.65957446808511,Inf,-3.8688440492476,"W","Living","Curitiba","Hyp.","TV","01"
"year18",0,-2.24848659556067,0.912964090079123,-1.16038126813095,-0.897435897435901,-0.913705583756351,-0.405131667792029,-2.02065559048047,23.5294117647059,-0.81521739130434,NA,0.86528884462152,8.33333333333334,1.88679245283018,NA,-0.816681146828843,"E","Dorm. N","Rio de Janeiro","Hyp.","TV","01"
"year19",0,4.40074906367041,-7.32568402471315,-1.16688275606593,-1.98511166253101,-1.05263157894737,-0.962962962962971,-1.11188325225851,-1.21951219512197,-0.892857142857156,NA,0.476720165262991,0,2.23880597014926,NA,-0.460729969044704,"E","Dorm. S","Rio de Janeiro","Hyp.","TV","01"
"year20",0,-2.03015375429169,0.0293599530240651,-0.774193548387097,-1.04004160166407,-0.989304812834222,-0.993520518358536,-0.328947368421049,-1.14942528735632,-0.870646766169158,NA,0.720863766275002,0,0,NA,-0.638501350135008,"E","Living","Rio de Janeiro","Hyp.","TV","01"
"year21",0,-4.88916511290656,0.51020408163266,-3.03571428571429,-0.907770515613653,-1.51133501259446,-0.67049808429119,-11.405529953917,44.8275862068966,-12.8146453089245,NA,2.80457483838887,-6.25000000000001,3.57142857142856,NA,-2.60853275886295,"NE","Dorm. 1","Rio de Janeiro","Hyp.","TV","01"
"year22",0.0254841997961322,-5.2820621170505,-1.10309715740348,-4.34924787442773,-1.4499758337361,-11.2395376644081,-1.11265646731573,-2.27992400253325,29.7872340425532,-13.5831381733021,NA,3.66443085421187,0,5.55555555555557,NA,-3.4239256678281,"NE","Dorm. 2","Rio de Janeiro","Hyp.","TV","01"
"year23",0.0764039220680024,-42.9077674552246,-33.0645161290322,-12.5042152829298,-13.6410520887055,NA,-10.587942202292,-13.0864895421142,9.24024640657084,-12.2383252818035,NA,19.6285238841034,0,21.9047619047619,NA,-18.1933955940838,"NE","Living","Rio de Janeiro","Hyp.","TV","01"
"year24",0,-3.26539101497504,2.6068376068376,0.0224517287831214,0.363901018922853,-0.289017341040462,0.143747005270729,-0.298634812286697,18.75,0,NA,0.379317228987817,0,1.78571428571428,NA,-0.361893124030635,"NW","Dorm. 1","Rio de Janeiro","Hyp.","TV","01"
"year25",0,-3.27626294652293,1.27388535031847,-0.948435626294553,0,-2.15530903328051,-0.208623087621705,-0.636942675159233,12.7659574468085,-0.470588235294124,NA,0.96210775606868,0,3.70370370370371,NA,-0.9155551424455,"NW","Dorm. 2","Rio de Janeiro","Hyp.","TV","01"
"year26",0,-3.43968573344832,2.36127508854783,-0.526351305756136,-0.154758834150107,-0.870297585626043,-0.598056316969857,NA,0,-0.538793103448276,NA,0.954969514434731,0,1.9047619047619,NA,-0.894194442581539,"NW","Living","Rio de Janeiro","Hyp.","TV","01"
"year27",0,3.75967563582749,-2.78317152103561,-0.698301856848116,-1.87393526405452,-0.919117647058824,-0.0430663221360871,-0.511508951406645,-13.6363636363636,-0.350877192982461,NA,-0.0136752136752168,0,1.98019801980197,NA,0,"SE","Dorm. 1","Rio de Janeiro","Hyp.","TV","01"
"year28",0.0254323499491411,3.57414448669201,-2.26666666666667,-0.717196414017926,-2.29007633587786,-0.547112462006082,-0.0580046403712264,-0.85815244825845,-40,-0.350877192982461,NA,-0.027851274195785,0,2.15053763440861,NA,0.0126470216263955,"SE","Dorm. 2","Rio de Janeiro","Hyp.","TV","01"
"year29",0.0127129417747296,2.9471357524406,-3.94357165758254,-1.83724197557549,-3.0622009569378,NA,-1.06091718001368,-1.96926032660903,-10.3030303030303,-1.53714773697694,NA,0.622642200490789,0,0,NA,-0.51782761955268,"SE","Living","Rio de Janeiro","Hyp.","TV","01"
"year30",0,3.8989974006684,-2.60756192959583,-0.591243208692862,-1.70502983802217,-0.342759211653818,0.0431778929188231,-0.811485642946307,-15.7894736842105,-0.350877192982461,NA,-0.10990520675918,5,1.01010101010101,NA,0.0874617354907072,"SW","Dorm. 1","Rio de Janeiro","Hyp.","TV","01"
