"","val","var","sim","dwel","room","weather"
"129",215.8,"conv_hge_floor","Base","E","Dorm. S","Rio de Janeiro"
"130",690.7,"conv_hge_floor","Base","E","Living","Rio de Janeiro"
"131",474.1,"conv_hge_floor","Base","NE","Dorm. 1","Rio de Janeiro"
"132",468.1,"conv_hge_floor","Base","NE","Dorm. 2","Rio de Janeiro"
"133",620.1,"conv_hge_floor","Base","NE","Living","Rio de Janeiro"
"134",479.8,"conv_hge_floor","Base","NW","Dorm. 1","Rio de Janeiro"
"135",475.5,"conv_hge_floor","Base","NW","Dorm. 2","Rio de Janeiro"
"136",1064.4,"conv_hge_floor","Base","NW","Living","Rio de Janeiro"
"137",281.4,"conv_hge_floor","Base","SE","Dorm. 1","Rio de Janeiro"
"138",276.8,"conv_hge_floor","Base","SE","Dorm. 2","Rio de Janeiro"
"139",592.1,"conv_hge_floor","Base","SE","Living","Rio de Janeiro"
"140",281.1,"conv_hge_floor","Base","SW","Dorm. 1","Rio de Janeiro"
"141",276.9,"conv_hge_floor","Base","SW","Dorm. 2","Rio de Janeiro"
"142",592.3,"conv_hge_floor","Base","SW","Living","Rio de Janeiro"
"143",346.5,"conv_hge_floor","Base","W","Dorm. N","Rio de Janeiro"
"144",216.9,"conv_hge_floor","Base","W","Dorm. S","Rio de Janeiro"
"145",756.7,"conv_hge_floor","Base","W","Living","Rio de Janeiro"
"146",249.8,"conv_hge_floor","Base","E","Dorm. N","São Paulo"
"147",142.2,"conv_hge_floor","Base","E","Dorm. S","São Paulo"
"148",534.4,"conv_hge_floor","Base","E","Living","São Paulo"
"149",355,"conv_hge_floor","Base","NE","Dorm. 1","São Paulo"
"150",356.7,"conv_hge_floor","Base","NE","Dorm. 2","São Paulo"
"151",473.3,"conv_hge_floor","Base","NE","Living","São Paulo"
"152",360.1,"conv_hge_floor","Base","NW","Dorm. 1","São Paulo"
"153",363.4,"conv_hge_floor","Base","NW","Dorm. 2","São Paulo"
"154",857.5,"conv_hge_floor","Base","NW","Living","São Paulo"
"155",193,"conv_hge_floor","Base","SE","Dorm. 1","São Paulo"
"156",194.8,"conv_hge_floor","Base","SE","Dorm. 2","São Paulo"
"157",454.9,"conv_hge_floor","Base","SE","Living","São Paulo"
"158",192.9,"conv_hge_floor","Base","SW","Dorm. 1","São Paulo"
"159",194.8,"conv_hge_floor","Base","SW","Dorm. 2","São Paulo"
"160",455,"conv_hge_floor","Base","SW","Living","São Paulo"
"161",250.9,"conv_hge_floor","Base","W","Dorm. N","São Paulo"
"162",143.7,"conv_hge_floor","Base","W","Dorm. S","São Paulo"
"163",588.5,"conv_hge_floor","Base","W","Living","São Paulo"
"164",212.7,"conv_hge_floor","Simp.","E","Dorm. N","Curitiba"
"165",90.8,"conv_hge_floor","Simp.","E","Dorm. S","Curitiba"
"166",425.4,"conv_hge_floor","Simp.","E","Living","Curitiba"
"167",334,"conv_hge_floor","Simp.","NE","Dorm. 1","Curitiba"
"168",340.9,"conv_hge_floor","Simp.","NE","Dorm. 2","Curitiba"
"169",809.7,"conv_hge_floor","Simp.","NE","Living","Curitiba"
"170",333.8,"conv_hge_floor","Simp.","NW","Dorm. 1","Curitiba"
"171",341,"conv_hge_floor","Simp.","NW","Dorm. 2","Curitiba"
"172",809.9,"conv_hge_floor","Simp.","NW","Living","Curitiba"
"173",138.7,"conv_hge_floor","Simp.","SE","Dorm. 1","Curitiba"
"174",146,"conv_hge_floor","Simp.","SE","Dorm. 2","Curitiba"
"175",359.6,"conv_hge_floor","Simp.","SE","Living","Curitiba"
"176",138.9,"conv_hge_floor","Simp.","SW","Dorm. 1","Curitiba"
"177",145.9,"conv_hge_floor","Simp.","SW","Dorm. 2","Curitiba"
"178",359.7,"conv_hge_floor","Simp.","SW","Living","Curitiba"
