"","val","var","sim","dwel","room","weather"
"137",386.7,"conv_hge_floor","Base","SE","Dorm. 1","Rio de Janeiro"
"138",389.1,"conv_hge_floor","Base","SE","Dorm. 2","Rio de Janeiro"
"139",649.9,"conv_hge_floor","Base","SE","Living","Rio de Janeiro"
"140",388.4,"conv_hge_floor","Base","SW","Dorm. 1","Rio de Janeiro"
"141",389.2,"conv_hge_floor","Base","SW","Dorm. 2","Rio de Janeiro"
"142",650.3,"conv_hge_floor","Base","SW","Living","Rio de Janeiro"
"143",253.1,"conv_hge_floor","Base","W","Dorm. N","Rio de Janeiro"
"144",273.9,"conv_hge_floor","Base","W","Dorm. S","Rio de Janeiro"
"145",571.8,"conv_hge_floor","Base","W","Living","Rio de Janeiro"
"146",92.1,"conv_hge_floor","Base","E","Dorm. N","São Paulo"
"147",122.9,"conv_hge_floor","Base","E","Dorm. S","São Paulo"
"148",261.3,"conv_hge_floor","Base","E","Living","São Paulo"
"149",134.1,"conv_hge_floor","Base","NE","Dorm. 1","São Paulo"
"150",133.1,"conv_hge_floor","Base","NE","Dorm. 2","São Paulo"
"151",359.6,"conv_hge_floor","Base","NE","Living","São Paulo"
"152",134,"conv_hge_floor","Base","NW","Dorm. 1","São Paulo"
"153",132.1,"conv_hge_floor","Base","NW","Dorm. 2","São Paulo"
"154",355.6,"conv_hge_floor","Base","NW","Living","São Paulo"
"155",173.4,"conv_hge_floor","Base","SE","Dorm. 1","São Paulo"
"156",166.2,"conv_hge_floor","Base","SE","Dorm. 2","São Paulo"
"157",347.1,"conv_hge_floor","Base","SE","Living","São Paulo"
"158",174.2,"conv_hge_floor","Base","SW","Dorm. 1","São Paulo"
"159",166.2,"conv_hge_floor","Base","SW","Dorm. 2","São Paulo"
"160",347.3,"conv_hge_floor","Base","SW","Living","São Paulo"
"161",101.1,"conv_hge_floor","Base","W","Dorm. N","São Paulo"
"162",131.2,"conv_hge_floor","Base","W","Dorm. S","São Paulo"
"163",323.5,"conv_hge_floor","Base","W","Living","São Paulo"
"164",47.6,"conv_hge_floor","Simp.","E","Dorm. N","Curitiba"
"165",80.5,"conv_hge_floor","Simp.","E","Dorm. S","Curitiba"
"166",171.4,"conv_hge_floor","Simp.","E","Living","Curitiba"
"167",44.4,"conv_hge_floor","Simp.","NE","Dorm. 1","Curitiba"
"168",34.8,"conv_hge_floor","Simp.","NE","Dorm. 2","Curitiba"
"169",206.1,"conv_hge_floor","Simp.","NE","Living","Curitiba"
"170",44.3,"conv_hge_floor","Simp.","NW","Dorm. 1","Curitiba"
"171",34.8,"conv_hge_floor","Simp.","NW","Dorm. 2","Curitiba"
"172",205.9,"conv_hge_floor","Simp.","NW","Living","Curitiba"
"173",88.3,"conv_hge_floor","Simp.","SE","Dorm. 1","Curitiba"
"174",71.3,"conv_hge_floor","Simp.","SE","Dorm. 2","Curitiba"
"175",211.6,"conv_hge_floor","Simp.","SE","Living","Curitiba"
"176",87.6,"conv_hge_floor","Simp.","SW","Dorm. 1","Curitiba"
"177",71.3,"conv_hge_floor","Simp.","SW","Dorm. 2","Curitiba"
"178",211.4,"conv_hge_floor","Simp.","SW","Living","Curitiba"
"179",45.6,"conv_hge_floor","Simp.","W","Dorm. N","Curitiba"
"180",75.3,"conv_hge_floor","Simp.","W","Dorm. S","Curitiba"
"181",217.4,"conv_hge_floor","Simp.","W","Living","Curitiba"
"182",253.7,"conv_hge_floor","Simp.","E","Dorm. N","Rio de Janeiro"
"183",269.1,"conv_hge_floor","Simp.","E","Dorm. S","Rio de Janeiro"
"184",502.2,"conv_hge_floor","Simp.","E","Living","Rio de Janeiro"
"185",372.4,"conv_hge_floor","Simp.","NE","Dorm. 1","Rio de Janeiro"
"186",378.1,"conv_hge_floor","Simp.","NE","Dorm. 2","Rio de Janeiro"
"187",702.7,"conv_hge_floor","Simp.","NE","Living","Rio de Janeiro"
"188",373.7,"conv_hge_floor","Simp.","NW","Dorm. 1","Rio de Janeiro"
"189",378,"conv_hge_floor","Simp.","NW","Dorm. 2","Rio de Janeiro"
"190",702.4,"conv_hge_floor","Simp.","NW","Living","Rio de Janeiro"
"191",398,"conv_hge_floor","Simp.","SE","Dorm. 1","Rio de Janeiro"
"192",399.9,"conv_hge_floor","Simp.","SE","Dorm. 2","Rio de Janeiro"
"193",670.8,"conv_hge_floor","Simp.","SE","Living","Rio de Janeiro"
"194",399.5,"conv_hge_floor","Simp.","SW","Dorm. 1","Rio de Janeiro"
"195",399.9,"conv_hge_floor","Simp.","SW","Dorm. 2","Rio de Janeiro"
"196",670.8,"conv_hge_floor","Simp.","SW","Living","Rio de Janeiro"
"197",265.5,"conv_hge_floor","Simp.","W","Dorm. N","Rio de Janeiro"
"198",282.1,"conv_hge_floor","Simp.","W","Dorm. S","Rio de Janeiro"
"199",587,"conv_hge_floor","Simp.","W","Living","Rio de Janeiro"
"200",96.9,"conv_hge_floor","Simp.","E","Dorm. N","São Paulo"
"201",121.1,"conv_hge_floor","Simp.","E","Dorm. S","São Paulo"
"202",269.5,"conv_hge_floor","Simp.","E","Living","São Paulo"
"203",141,"conv_hge_floor","Simp.","NE","Dorm. 1","São Paulo"
"204",140.6,"conv_hge_floor","Simp.","NE","Dorm. 2","São Paulo"
"205",367.9,"conv_hge_floor","Simp.","NE","Living","São Paulo"
"206",142,"conv_hge_floor","Simp.","NW","Dorm. 1","São Paulo"
"207",140.6,"conv_hge_floor","Simp.","NW","Dorm. 2","São Paulo"
"208",367.7,"conv_hge_floor","Simp.","NW","Living","São Paulo"
"209",172.8,"conv_hge_floor","Simp.","SE","Dorm. 1","São Paulo"
"210",167.1,"conv_hge_floor","Simp.","SE","Dorm. 2","São Paulo"
"211",353.8,"conv_hge_floor","Simp.","SE","Living","São Paulo"
