"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","simp"
"year10",0.0507356671740205,10.1351351351351,0.673400673400671,-1.02798400913763,-24.3243243243243,-1.63339382940109,1.41414141414142,-0.898203592814363,-0.341588385994881,-2.19780219780219,NA,-1.4985014985015,Inf,1.22699386503067,NA,1.17955439056356,"SE","Dorm. 2","Curitiba","Hyp.","SF","01"
"year11",0.0127000254000537,3.79704301075267,-15.9206798866855,-7.82280867106503,-12.982998454405,NA,-6.33093525179857,-7.42081447963801,-1.41927853341219,-5.41795665634674,NA,3.36504693186896,0,1.36986301369862,NA,-2.88081239978622,"SE","Living","Curitiba","Hyp.","SF","01"
"year12",0.0760841998478345,10.4761904761905,-1.59857904085257,-0.398936170212762,-21.9512195121951,-1.08695652173913,1.76282051282052,-0.638297872340419,0,-2.24719101123597,NA,-1.70384682943967,NA,1.68539325842697,NA,1.33108935128518,"SW","Dorm. 1","Curitiba","Hyp.","SF","01"
"year13",0.0507356671740205,10.1351351351351,0.841750841750842,-1.02798400913763,-24.3243243243243,-1.04166666666667,1.41414141414142,-1.46252285191957,-0.341588385994881,-2.19780219780219,NA,-1.51515151515152,Inf,1.22699386503067,NA,1.19411679044706,"SW","Dorm. 2","Curitiba","Hyp.","SF","01"
"year14",0.0127000254000537,3.89784946236558,-15.6940509915014,-7.58360810174283,-12.5193199381762,-7.16845878136201,-6.11510791366906,NA,-1.36014192785335,-5.11627906976744,NA,3.23692779161081,0,1.36986301369862,NA,-2.76308054085831,"SW","Living","Curitiba","Hyp.","SF","01"
"year15",-0.0520156046814015,-4.5045045045045,92.4892703862661,19.2528735632184,17.0731707317073,16.7808219178082,32.4675324675325,20.0704225352113,-1.67064439140812,14.2857142857143,NA,-13.0990415335463,NA,-2.90697674418605,NA,11.5417595609672,"W","Dorm. N","Curitiba","Hyp.","SF","01"
"year16",0.12993762993763,13.135593220339,-6.006006006006,1.72626387176326,0,1.06951871657754,3.97350993377483,-2.16216216216215,0.43196544276457,9.89010989010989,NA,-2.49403600086749,NA,1.96078431372549,NA,1.9412090959512,"W","Dorm. S","Curitiba","Hyp.","SF","01"
"year17",0,1.43908969210174,16.8627450980392,3.39244410177332,2.48344370860927,3.35658238884045,4.31309904153354,3.40843443096476,-1.26050420168068,3.33660451422963,NA,-3.47956855424185,0,-0.555555555555563,NA,3.0107047279215,"W","Living","Curitiba","Hyp.","SF","01"
"year18",-0.0522056904202677,-4.82758620689655,29.0820471161657,3.04203539823009,2.98634812286689,2.37500000000001,3.17028985507246,3.74677002583978,-38.8888888888889,0.325732899022806,NA,-2.73385777708544,0,-2.56410256410257,NA,2.62553802008608,"E","Dorm. N","Rio de Janeiro","Hyp.","SF","01"
"year19",0,-1.24770642201834,-13.0065975494816,-3.54852501068833,-3.82830626450116,-3.07262569832401,-3.15106580166822,-4.2911877394636,4.87804878048782,-1.2539184952978,NA,2.57263431261159,14.2857142857143,7.59493670886077,NA,-2.36686390532545,"E","Dorm. S","Rio de Janeiro","Hyp.","SF","01"
"year20",0,-2.46052901373795,7.87132101300479,-0.102365787079173,-0.695322376738302,-0.155400155400147,0.789793438639132,-0.234113712374578,-3.30578512396695,-0.285103349964366,NA,-1.13108149984507,0,1.88679245283018,NA,1.01895251681272,"E","Living","Rio de Janeiro","Hyp.","SF","01"
