"","val","var","sim","dwel","room","weather"
"75",383.4,"int_conv_he","Simp.","E","Dorm. S","Rio de Janeiro"
"76",760.9,"int_conv_he","Simp.","E","Living","Rio de Janeiro"
"77",392.3,"int_conv_he","Simp.","NE","Dorm. 1","Rio de Janeiro"
"78",392.4,"int_conv_he","Simp.","NE","Dorm. 2","Rio de Janeiro"
"79",785.2,"int_conv_he","Simp.","NE","Living","Rio de Janeiro"
"80",392.4,"int_conv_he","Simp.","NW","Dorm. 1","Rio de Janeiro"
"81",392.4,"int_conv_he","Simp.","NW","Dorm. 2","Rio de Janeiro"
"82",785.2,"int_conv_he","Simp.","NW","Living","Rio de Janeiro"
"83",393.3,"int_conv_he","Simp.","SE","Dorm. 1","Rio de Janeiro"
"84",393.4,"int_conv_he","Simp.","SE","Dorm. 2","Rio de Janeiro"
"85",786.8,"int_conv_he","Simp.","SE","Living","Rio de Janeiro"
"86",393.3,"int_conv_he","Simp.","SW","Dorm. 1","Rio de Janeiro"
"87",393.4,"int_conv_he","Simp.","SW","Dorm. 2","Rio de Janeiro"
"88",786.8,"int_conv_he","Simp.","SW","Living","Rio de Janeiro"
"89",382.6,"int_conv_he","Simp.","W","Dorm. N","Rio de Janeiro"
"90",383.3,"int_conv_he","Simp.","W","Dorm. S","Rio de Janeiro"
"91",761.5,"int_conv_he","Simp.","W","Living","Rio de Janeiro"
"92",387.4,"int_conv_he","Simp.","E","Dorm. N","São Paulo"
"93",392.2,"int_conv_he","Simp.","E","Dorm. S","São Paulo"
"94",763,"int_conv_he","Simp.","E","Living","São Paulo"
"95",394.6,"int_conv_he","Simp.","NE","Dorm. 1","São Paulo"
"96",393.7,"int_conv_he","Simp.","NE","Dorm. 2","São Paulo"
"97",786.5,"int_conv_he","Simp.","NE","Living","São Paulo"
"98",394.6,"int_conv_he","Simp.","NW","Dorm. 1","São Paulo"
"99",393.7,"int_conv_he","Simp.","NW","Dorm. 2","São Paulo"
"100",786.5,"int_conv_he","Simp.","NW","Living","São Paulo"
"101",399.8,"int_conv_he","Simp.","SE","Dorm. 1","São Paulo"
"102",397.1,"int_conv_he","Simp.","SE","Dorm. 2","São Paulo"
"103",788.5,"int_conv_he","Simp.","SE","Living","São Paulo"
"104",399.7,"int_conv_he","Simp.","SW","Dorm. 1","São Paulo"
"105",397.1,"int_conv_he","Simp.","SW","Dorm. 2","São Paulo"
"106",788.5,"int_conv_he","Simp.","SW","Living","São Paulo"
"107",387,"int_conv_he","Simp.","W","Dorm. N","São Paulo"
"108",391.3,"int_conv_he","Simp.","W","Dorm. S","São Paulo"
"109",763.3,"int_conv_he","Simp.","W","Living","São Paulo"
"110",109.3,"conv_hge_floor","Base","E","Dorm. N","Curitiba"
"111",48.3,"conv_hge_floor","Base","E","Dorm. S","Curitiba"
"112",283.1,"conv_hge_floor","Base","E","Living","Curitiba"
"113",180.3,"conv_hge_floor","Base","NE","Dorm. 1","Curitiba"
"114",193.2,"conv_hge_floor","Base","NE","Dorm. 2","Curitiba"
"115",224.8,"conv_hge_floor","Base","NE","Living","Curitiba"
"116",188.2,"conv_hge_floor","Base","NW","Dorm. 1","Curitiba"
"117",200.5,"conv_hge_floor","Base","NW","Dorm. 2","Curitiba"
"118",556.8,"conv_hge_floor","Base","NW","Living","Curitiba"
"119",78.5,"conv_hge_floor","Base","SE","Dorm. 1","Curitiba"
"120",86,"conv_hge_floor","Base","SE","Dorm. 2","Curitiba"
"121",237.2,"conv_hge_floor","Base","SE","Living","Curitiba"
"122",80.3,"conv_hge_floor","Base","SW","Dorm. 1","Curitiba"
"123",86,"conv_hge_floor","Base","SW","Dorm. 2","Curitiba"
"124",237.8,"conv_hge_floor","Base","SW","Living","Curitiba"
"125",129.1,"conv_hge_floor","Base","W","Dorm. N","Curitiba"
"126",62.4,"conv_hge_floor","Base","W","Dorm. S","Curitiba"
"127",403.9,"conv_hge_floor","Base","W","Living","Curitiba"
"128",332.2,"conv_hge_floor","Base","E","Dorm. N","Rio de Janeiro"
"129",224.8,"conv_hge_floor","Base","E","Dorm. S","Rio de Janeiro"
"130",658.6,"conv_hge_floor","Base","E","Living","Rio de Janeiro"
"131",455.4,"conv_hge_floor","Base","NE","Dorm. 1","Rio de Janeiro"
"132",443.2,"conv_hge_floor","Base","NE","Dorm. 2","Rio de Janeiro"
"133",595.4,"conv_hge_floor","Base","NE","Living","Rio de Janeiro"
"134",462.5,"conv_hge_floor","Base","NW","Dorm. 1","Rio de Janeiro"
"135",453.1,"conv_hge_floor","Base","NW","Dorm. 2","Rio de Janeiro"
"136",1007.5,"conv_hge_floor","Base","NW","Living","Rio de Janeiro"
"137",286.3,"conv_hge_floor","Base","SE","Dorm. 1","Rio de Janeiro"
"138",274.7,"conv_hge_floor","Base","SE","Dorm. 2","Rio de Janeiro"
"139",561.4,"conv_hge_floor","Base","SE","Living","Rio de Janeiro"
"140",285.1,"conv_hge_floor","Base","SW","Dorm. 1","Rio de Janeiro"
"141",274.7,"conv_hge_floor","Base","SW","Dorm. 2","Rio de Janeiro"
