"","val","var","sim","dwel","room","weather"
"192",247,"conv_hge_floor","Simp.","SE","Dorm. 2","Rio de Janeiro"
"193",515.3,"conv_hge_floor","Simp.","SE","Living","Rio de Janeiro"
"194",255.1,"conv_hge_floor","Simp.","SW","Dorm. 1","Rio de Janeiro"
"195",246.9,"conv_hge_floor","Simp.","SW","Dorm. 2","Rio de Janeiro"
"196",514.9,"conv_hge_floor","Simp.","SW","Living","Rio de Janeiro"
"197",352.8,"conv_hge_floor","Simp.","W","Dorm. N","Rio de Janeiro"
"198",216.8,"conv_hge_floor","Simp.","W","Dorm. S","Rio de Janeiro"
"199",754.1,"conv_hge_floor","Simp.","W","Living","Rio de Janeiro"
"200",225.1,"conv_hge_floor","Simp.","E","Dorm. N","São Paulo"
"201",119.5,"conv_hge_floor","Simp.","E","Dorm. S","São Paulo"
"202",493.3,"conv_hge_floor","Simp.","E","Living","São Paulo"
"203",360.2,"conv_hge_floor","Simp.","NE","Dorm. 1","São Paulo"
"204",367.8,"conv_hge_floor","Simp.","NE","Dorm. 2","São Paulo"
"205",845.5,"conv_hge_floor","Simp.","NE","Living","São Paulo"
"206",358.7,"conv_hge_floor","Simp.","NW","Dorm. 1","São Paulo"
"207",367.7,"conv_hge_floor","Simp.","NW","Dorm. 2","São Paulo"
"208",845.2,"conv_hge_floor","Simp.","NW","Living","São Paulo"
"209",157.7,"conv_hge_floor","Simp.","SE","Dorm. 1","São Paulo"
"210",162.1,"conv_hge_floor","Simp.","SE","Dorm. 2","São Paulo"
"211",371.7,"conv_hge_floor","Simp.","SE","Living","São Paulo"
"212",156.2,"conv_hge_floor","Simp.","SW","Dorm. 1","São Paulo"
"213",162.1,"conv_hge_floor","Simp.","SW","Dorm. 2","São Paulo"
"214",371.5,"conv_hge_floor","Simp.","SW","Living","São Paulo"
"215",230.6,"conv_hge_floor","Simp.","W","Dorm. N","São Paulo"
"216",123.5,"conv_hge_floor","Simp.","W","Dorm. S","São Paulo"
"217",548.4,"conv_hge_floor","Simp.","W","Living","São Paulo"
"218",52.7,"conv_hge_roof","Base","E","Dorm. N","Curitiba"
"219",9.1,"conv_hge_roof","Base","E","Dorm. S","Curitiba"
"220",138.4,"conv_hge_roof","Base","E","Living","Curitiba"
"221",95.3,"conv_hge_roof","Base","NE","Dorm. 1","Curitiba"
"222",105.3,"conv_hge_roof","Base","NE","Dorm. 2","Curitiba"
"223",136.3,"conv_hge_roof","Base","NE","Living","Curitiba"
"224",100,"conv_hge_roof","Base","NW","Dorm. 1","Curitiba"
"225",110.1,"conv_hge_roof","Base","NW","Dorm. 2","Curitiba"
"226",291.5,"conv_hge_roof","Base","NW","Living","Curitiba"
"227",31.4,"conv_hge_roof","Base","SE","Dorm. 1","Curitiba"
"228",38,"conv_hge_roof","Base","SE","Dorm. 2","Curitiba"
"229",109.7,"conv_hge_roof","Base","SE","Living","Curitiba"
"230",32.3,"conv_hge_roof","Base","SW","Dorm. 1","Curitiba"
"231",38,"conv_hge_roof","Base","SW","Dorm. 2","Curitiba"
"232",110.2,"conv_hge_roof","Base","SW","Living","Curitiba"
"233",60.7,"conv_hge_roof","Base","W","Dorm. N","Curitiba"
"234",14.2,"conv_hge_roof","Base","W","Dorm. S","Curitiba"
"235",197,"conv_hge_roof","Base","W","Living","Curitiba"
"236",165.8,"conv_hge_roof","Base","E","Dorm. N","Rio de Janeiro"
"237",105,"conv_hge_roof","Base","E","Dorm. S","Rio de Janeiro"
"238",340.7,"conv_hge_roof","Base","E","Living","Rio de Janeiro"
"239",236.4,"conv_hge_roof","Base","NE","Dorm. 1","Rio de Janeiro"
"240",233.1,"conv_hge_roof","Base","NE","Dorm. 2","Rio de Janeiro"
"241",340.3,"conv_hge_roof","Base","NE","Living","Rio de Janeiro"
"242",240.1,"conv_hge_roof","Base","NW","Dorm. 1","Rio de Janeiro"
"243",238.5,"conv_hge_roof","Base","NW","Dorm. 2","Rio de Janeiro"
"244",520.2,"conv_hge_roof","Base","NW","Living","Rio de Janeiro"
"245",150.2,"conv_hge_roof","Base","SE","Dorm. 1","Rio de Janeiro"
"246",146.6,"conv_hge_roof","Base","SE","Dorm. 2","Rio de Janeiro"
"247",299.6,"conv_hge_roof","Base","SE","Living","Rio de Janeiro"
"248",149.4,"conv_hge_roof","Base","SW","Dorm. 1","Rio de Janeiro"
"249",146.6,"conv_hge_roof","Base","SW","Dorm. 2","Rio de Janeiro"
"250",299.6,"conv_hge_roof","Base","SW","Living","Rio de Janeiro"
"251",172.2,"conv_hge_roof","Base","W","Dorm. N","Rio de Janeiro"
"252",110.7,"conv_hge_roof","Base","W","Dorm. S","Rio de Janeiro"
"253",365.9,"conv_hge_roof","Base","W","Living","Rio de Janeiro"
"254",96.1,"conv_hge_roof","Base","E","Dorm. N","São Paulo"
"255",48.1,"conv_hge_roof","Base","E","Dorm. S","São Paulo"
"256",229.2,"conv_hge_roof","Base","E","Living","São Paulo"
"257",149.1,"conv_hge_roof","Base","NE","Dorm. 1","São Paulo"
"258",154.5,"conv_hge_roof","Base","NE","Dorm. 2","São Paulo"
"259",223.4,"conv_hge_roof","Base","NE","Living","São Paulo"
"260",152.7,"conv_hge_roof","Base","NW","Dorm. 1","São Paulo"
"261",159.5,"conv_hge_roof","Base","NW","Dorm. 2","São Paulo"
"262",379.1,"conv_hge_roof","Base","NW","Living","São Paulo"
"263",78.4,"conv_hge_roof","Base","SE","Dorm. 1","São Paulo"
"264",82.6,"conv_hge_roof","Base","SE","Dorm. 2","São Paulo"
"265",195,"conv_hge_roof","Base","SE","Living","São Paulo"
"266",78.1,"conv_hge_roof","Base","SW","Dorm. 1","São Paulo"
"267",82.6,"conv_hge_roof","Base","SW","Dorm. 2","São Paulo"
"268",195,"conv_hge_roof","Base","SW","Living","São Paulo"
"269",100.4,"conv_hge_roof","Base","W","Dorm. N","São Paulo"
"270",51.2,"conv_hge_roof","Base","W","Dorm. S","São Paulo"
"271",250.3,"conv_hge_roof","Base","W","Living","São Paulo"
"272",52.9,"conv_hge_roof","Simp.","E","Dorm. N","Curitiba"
"273",17.5,"conv_hge_roof","Simp.","E","Dorm. S","Curitiba"
"274",153,"conv_hge_roof","Simp.","E","Living","Curitiba"
"275",115.1,"conv_hge_roof","Simp.","NE","Dorm. 1","Curitiba"
"276",133.1,"conv_hge_roof","Simp.","NE","Dorm. 2","Curitiba"
