"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year53",761.9,626.4,259.9,944.2,173.6,327.7,182.7,260.1,-39.3,153.1,0,-2772.9,3.1,-6.9,0,208.3,"W","Living","São Paulo","Hyp.","SF","Base"
"year54",390.6,168.2,-40.9,157,41.6,29,17.6,68.8,-91.2,6.2,7.8,-540.6,0,-25,7.8,67.7111111111111,"E","Dorm. N","Curitiba","Hyp.","SF","Simp."
"year55",395.9,84.6,-29.5,57.1,-9.1,5.4,27.1,33.6,-89.2,8.4,18.6,-416.5,0,-17.3,18.6,52.4888888888889,"E","Dorm. S","Curitiba","Hyp.","SF","Simp."
"year56",765.2,393.3,119.6,601.3,109.4,136.5,119.9,235.6,-103.3,69.6,0.3,-1841.4,0.4,-30.2,0.3,143.846666666667,"E","Living","Curitiba","Hyp.","SF","Simp."
"year57",399.1,260.5,-42.3,284.4,106.2,83,38.1,57.2,-125.2,11.9,6.8,-745.6,0,-18.4,6.8,68.2166666666667,"NE","Dorm. 1","Curitiba","Hyp.","SF","Simp."
"year58",398.5,258.4,-40.7,315.2,82.8,90.5,27.2,114.7,-121.4,11.6,4.9,-777.6,0,-17,4.9,71.0583333333333,"NE","Dorm. 2","Curitiba","Hyp.","SF","Simp."
"year59",788.1,708.2,204,902.2,295.6,0,173.3,217.9,-119.8,101,0,-2611.2,0.5,-17.6,0,146.76,"NE","Living","Curitiba","Hyp.","SF","Simp."
"year60",399.1,260.5,-42,282.9,106.2,58.9,38.2,79.6,-125.1,12.9,6.8,-745.6,0,-18.4,6.8,68.2166666666667,"NW","Dorm. 1","Curitiba","Hyp.","SF","Simp."
"year61",398.5,258.5,-40.8,315.9,82.8,119.8,27.2,86.1,-121.5,11.4,4.9,-778,0,-17,4.9,71.0916666666667,"NW","Dorm. 2","Curitiba","Hyp.","SF","Simp."
"year62",788.1,708.3,204.1,903.5,295.7,223,173.3,0,-119.8,100.5,0,-2612.2,0.5,-17.6,0,146.815,"NW","Living","Curitiba","Hyp.","SF","Simp."
"year63",405.9,127.2,-23.4,132.1,-1.1,44.3,58.1,30.7,-116.9,6,24.3,-526.7,0.1,-13.9,24.3,48.7916666666667,"SE","Dorm. 1","Curitiba","Hyp.","SF","Simp."
"year64",405.1,130.6,-23.5,154.3,-0.1,46.1,46.3,61.9,-114,6,20.8,-550.9,0.1,-13,20.8,50.9583333333333,"SE","Dorm. 2","Curitiba","Hyp.","SF","Simp."
"year65",793,355.6,159,514.3,82.5,0,176.8,128.5,-137.8,55.7,1.3,-1749.6,0.6,-14.7,1.3,102.17,"SE","Living","Curitiba","Hyp.","SF","Simp."
"year66",405.9,127.4,-23.3,132.8,-0.9,31.2,58.3,44.3,-116.9,6,24.2,-527.6,0.1,-14,24.3,48.875,"SW","Dorm. 1","Curitiba","Hyp.","SF","Simp."
"year67",405.1,130.6,-23.5,154.3,-0.1,62.3,46.3,45.8,-114,6,20.8,-550.9,0.1,-13,20.8,50.9666666666667,"SW","Dorm. 2","Curitiba","Hyp.","SF","Simp."
"year68",793,355.8,159.1,514.8,82.6,129.8,176.9,0,-137.7,55.7,1.3,-1750.4,0.6,-14.7,1.3,102.215,"SW","Living","Curitiba","Hyp.","SF","Simp."
"year69",390.3,172.8,-37.9,169.5,43.2,74.5,19.2,32.6,-91.5,6.9,7.8,-557.9,0.1,-27.2,7.8,69.6,"W","Dorm. N","Curitiba","Hyp.","SF","Simp."
