"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year48",395.7,165.9,78.1,267.7,-15.5,65.8,133.5,84,-63.9,15.9,0,-830.8,0.2,-24.1,0,76.8166666666667,"SW","Dorm. 1","São Paulo","Hyp.","TV","Base"
"year49",394.7,169.3,82.6,299.8,-12.5,117.2,101.1,94,-63.6,15.9,0,-870.5,0.2,-23.6,0,80.5416666666667,"SW","Dorm. 2","São Paulo","Hyp.","TV","Base"
"year50",787.7,388.2,195,533.5,53.2,142.4,196,0,-83.8,78.8,0,-1887.9,2,-28.4,0,111.14,"SW","Living","São Paulo","Hyp.","TV","Base"
"year51",384.8,217.7,100.4,324.7,90.1,143.2,38.8,52.5,-44.4,20.8,0.2,-974.5,0.9,-10.5,0.2,118.411111111111,"W","Dorm. N","São Paulo","Hyp.","TV","Base"
"year52",387.4,129.3,51.2,197.6,-13.4,83.4,81,46.6,-48.3,19.9,0.5,-709.9,0.1,-23.5,0.5,87.8333333333333,"W","Dorm. S","São Paulo","Hyp.","TV","Base"
"year53",762.7,514.1,250.3,786.6,130,271.7,163.6,221.3,-39.7,120.3,0,-2417.6,2.6,-6.6,0,183.686666666667,"W","Living","São Paulo","Hyp.","TV","Base"
"year54",389.1,150.6,52.9,53.1,43.8,-54.9,-33.1,97.3,-76.1,9.9,0.4,-548,0.2,-18.2,0.4,68.8,"E","Dorm. N","Curitiba","Hyp.","TV","Simp."
"year55",395.8,57.1,17.5,-56.3,-78.7,-56.1,43.1,35.4,-76.6,11,8.7,-345.2,0.1,-13.5,8.7,44.0777777777778,"E","Dorm. S","Curitiba","Hyp.","TV","Simp."
"year56",764.8,336,153,414.7,71.7,27.4,109.4,206.1,-105.5,47.6,0,-1588.2,0.4,-26.6,0,126.693333333333,"E","Living","Curitiba","Hyp.","TV","Simp."
"year57",395.4,272.7,115.1,295.9,149.3,92.5,-30.6,84.7,-107.8,21.2,0,-962.3,0.1,-18.1,0,87.1833333333333,"NE","Dorm. 1","Curitiba","Hyp.","TV","Simp."
"year58",393.9,293.6,133.1,416.6,129.5,131.3,-20.6,176.4,-107.7,21.6,0,-1120,0.1,-17.4,0,100.75,"NE","Dorm. 2","Curitiba","Hyp.","TV","Simp."
"year59",786.8,711.5,322.5,853.5,307.8,0,94.2,233.7,-136.9,88.3,0,-2619.7,0.5,-22.2,0,146.75,"NE","Living","Curitiba","Hyp.","TV","Simp."
"year60",395.4,274.3,116.1,302.4,150.6,85.8,-30,96,-107.7,22.3,0,-972.6,0.1,-18.1,0,88.0583333333333,"NW","Dorm. 1","Curitiba","Hyp.","TV","Simp."
"year61",393.9,293.5,133.1,416.3,129.5,178,-20.7,129.4,-107.7,21.4,0,-1119.4,0.1,-17.4,0,100.7,"NW","Dorm. 2","Curitiba","Hyp.","TV","Simp."
"year62",786.8,711.6,322.6,853.7,307.8,236.3,94.2,0,-136.9,87.8,0,-2619.5,0.5,-22.2,0,146.735,"NW","Living","Curitiba","Hyp.","TV","Simp."
"year63",403,89.7,40,33.4,-95.9,37.7,55.7,35.9,-102,8.5,1.3,-459.5,0.2,-13.4,1.4,43.4333333333333,"SE","Dorm. 1","Curitiba","Hyp.","TV","Simp."
"year64",399.9,101.1,49.5,96.4,-70.1,49,50.4,67,-104.7,7.8,0,-532.9,0.2,-13.2,0,50.3,"SE","Dorm. 2","Curitiba","Hyp.","TV","Simp."
