"","val","var","sim","dwel","room","weather"
"260",69.3,"conv_hge_roof","Base","NW","Dorm. 1","São Paulo"
"261",72.1,"conv_hge_roof","Base","NW","Dorm. 2","São Paulo"
"262",323.6,"conv_hge_roof","Base","NW","Living","São Paulo"
"263",65.3,"conv_hge_roof","Base","SE","Dorm. 1","São Paulo"
"264",63.9,"conv_hge_roof","Base","SE","Dorm. 2","São Paulo"
"265",268.2,"conv_hge_roof","Base","SE","Living","São Paulo"
"266",65.3,"conv_hge_roof","Base","SW","Dorm. 1","São Paulo"
"267",63.9,"conv_hge_roof","Base","SW","Dorm. 2","São Paulo"
"268",268.2,"conv_hge_roof","Base","SW","Living","São Paulo"
"269",47.4,"conv_hge_roof","Base","W","Dorm. N","São Paulo"
"270",44.5,"conv_hge_roof","Base","W","Dorm. S","São Paulo"
"271",244.5,"conv_hge_roof","Base","W","Living","São Paulo"
"272",-15.2,"conv_hge_roof","Simp.","E","Dorm. N","Curitiba"
"273",-15.1,"conv_hge_roof","Simp.","E","Dorm. S","Curitiba"
"274",119.6,"conv_hge_roof","Simp.","E","Living","Curitiba"
"275",-11.5,"conv_hge_roof","Simp.","NE","Dorm. 1","Curitiba"
"276",-9.7,"conv_hge_roof","Simp.","NE","Dorm. 2","Curitiba"
"277",190.2,"conv_hge_roof","Simp.","NE","Living","Curitiba"
"278",-11.2,"conv_hge_roof","Simp.","NW","Dorm. 1","Curitiba"
"279",-9.7,"conv_hge_roof","Simp.","NW","Dorm. 2","Curitiba"
"280",190.1,"conv_hge_roof","Simp.","NW","Living","Curitiba"
"281",-9.4,"conv_hge_roof","Simp.","SE","Dorm. 1","Curitiba"
"282",-10.7,"conv_hge_roof","Simp.","SE","Dorm. 2","Curitiba"
"283",142.3,"conv_hge_roof","Simp.","SE","Living","Curitiba"
"284",-9.5,"conv_hge_roof","Simp.","SW","Dorm. 1","Curitiba"
"285",-10.7,"conv_hge_roof","Simp.","SW","Dorm. 2","Curitiba"
"286",142.3,"conv_hge_roof","Simp.","SW","Living","Curitiba"
"287",-12.3,"conv_hge_roof","Simp.","W","Dorm. N","Curitiba"
"288",-13,"conv_hge_roof","Simp.","W","Dorm. S","Curitiba"
"289",150.3,"conv_hge_roof","Simp.","W","Living","Curitiba"
"290",180.1,"conv_hge_roof","Simp.","E","Dorm. N","Rio de Janeiro"
"291",168.5,"conv_hge_roof","Simp.","E","Dorm. S","Rio de Janeiro"
"292",470.7,"conv_hge_roof","Simp.","E","Living","Rio de Janeiro"
"293",256.7,"conv_hge_roof","Simp.","NE","Dorm. 1","Rio de Janeiro"
"294",259.1,"conv_hge_roof","Simp.","NE","Dorm. 2","Rio de Janeiro"
"295",660.9,"conv_hge_roof","Simp.","NE","Living","Rio de Janeiro"
"296",256.6,"conv_hge_roof","Simp.","NW","Dorm. 1","Rio de Janeiro"
"297",259,"conv_hge_roof","Simp.","NW","Dorm. 2","Rio de Janeiro"
"298",660.7,"conv_hge_roof","Simp.","NW","Living","Rio de Janeiro"
"299",236,"conv_hge_roof","Simp.","SE","Dorm. 1","Rio de Janeiro"
"300",237,"conv_hge_roof","Simp.","SE","Dorm. 2","Rio de Janeiro"
"301",568.7,"conv_hge_roof","Simp.","SE","Living","Rio de Janeiro"
"302",236.1,"conv_hge_roof","Simp.","SW","Dorm. 1","Rio de Janeiro"
"303",237,"conv_hge_roof","Simp.","SW","Dorm. 2","Rio de Janeiro"
"304",568.7,"conv_hge_roof","Simp.","SW","Living","Rio de Janeiro"
"305",185.5,"conv_hge_roof","Simp.","W","Dorm. N","Rio de Janeiro"
"306",173.5,"conv_hge_roof","Simp.","W","Dorm. S","Rio de Janeiro"
"307",494.7,"conv_hge_roof","Simp.","W","Living","Rio de Janeiro"
"308",44.1,"conv_hge_roof","Simp.","E","Dorm. N","São Paulo"
"309",42.9,"conv_hge_roof","Simp.","E","Dorm. S","São Paulo"
"310",230.4,"conv_hge_roof","Simp.","E","Living","São Paulo"
"311",71.6,"conv_hge_roof","Simp.","NE","Dorm. 1","São Paulo"
"312",74.4,"conv_hge_roof","Simp.","NE","Dorm. 2","São Paulo"
"313",334.8,"conv_hge_roof","Simp.","NE","Living","São Paulo"
"314",71.6,"conv_hge_roof","Simp.","NW","Dorm. 1","São Paulo"
"315",74.4,"conv_hge_roof","Simp.","NW","Dorm. 2","São Paulo"
"316",334.7,"conv_hge_roof","Simp.","NW","Living","São Paulo"
"317",66.4,"conv_hge_roof","Simp.","SE","Dorm. 1","São Paulo"
"318",65.4,"conv_hge_roof","Simp.","SE","Dorm. 2","São Paulo"
"319",270.8,"conv_hge_roof","Simp.","SE","Living","São Paulo"
"320",66.4,"conv_hge_roof","Simp.","SW","Dorm. 1","São Paulo"
"321",65.4,"conv_hge_roof","Simp.","SW","Dorm. 2","São Paulo"
"322",270.8,"conv_hge_roof","Simp.","SW","Living","São Paulo"
"323",48.2,"conv_hge_roof","Simp.","W","Dorm. N","São Paulo"
"324",46.6,"conv_hge_roof","Simp.","W","Dorm. S","São Paulo"
"325",251.2,"conv_hge_roof","Simp.","W","Living","São Paulo"
"326",10.5,"conv_hge_walls","Base","E","Dorm. N","Curitiba"
"327",-55.9,"conv_hge_walls","Base","E","Dorm. S","Curitiba"
"328",385.9,"conv_hge_walls","Base","E","Living","Curitiba"
"329",152.3,"conv_hge_walls","Base","NE","Dorm. 1","Curitiba"
"330",224.6,"conv_hge_walls","Base","NE","Dorm. 2","Curitiba"
"331",590.9,"conv_hge_walls","Base","NE","Living","Curitiba"
"332",167.1,"conv_hge_walls","Base","NW","Dorm. 1","Curitiba"
"333",237.1,"conv_hge_walls","Base","NW","Dorm. 2","Curitiba"
"334",642.2,"conv_hge_walls","Base","NW","Living","Curitiba"
"335",65.6,"conv_hge_walls","Base","SE","Dorm. 1","Curitiba"
"336",118.6,"conv_hge_walls","Base","SE","Dorm. 2","Curitiba"
"337",342,"conv_hge_walls","Base","SE","Living","Curitiba"
"338",70.2,"conv_hge_walls","Base","SW","Dorm. 1","Curitiba"
"339",118.7,"conv_hge_walls","Base","SW","Dorm. 2","Curitiba"
"340",342.6,"conv_hge_walls","Base","SW","Living","Curitiba"
"341",57.5,"conv_hge_walls","Base","W","Dorm. N","Curitiba"
"342",-12.8,"conv_hge_walls","Base","W","Dorm. S","Curitiba"
"343",554,"conv_hge_walls","Base","W","Living","Curitiba"
"344",724.6,"conv_hge_walls","Base","E","Dorm. N","Rio de Janeiro"
"345",579.2,"conv_hge_walls","Base","E","Dorm. S","Rio de Janeiro"
"346",1301.9,"conv_hge_walls","Base","E","Living","Rio de Janeiro"
"347",935.3,"conv_hge_walls","Base","NE","Dorm. 1","Rio de Janeiro"
"348",955.7,"conv_hge_walls","Base","NE","Dorm. 2","Rio de Janeiro"
"349",1538.1,"conv_hge_walls","Base","NE","Living","Rio de Janeiro"
"350",948.2,"conv_hge_walls","Base","NW","Dorm. 1","Rio de Janeiro"
"351",974.3,"conv_hge_walls","Base","NW","Dorm. 2","Rio de Janeiro"
"352",1635.8,"conv_hge_walls","Base","NW","Living","Rio de Janeiro"
"353",739.2,"conv_hge_walls","Base","SE","Dorm. 1","Rio de Janeiro"
"354",741.3,"conv_hge_walls","Base","SE","Dorm. 2","Rio de Janeiro"
"355",1175.6,"conv_hge_walls","Base","SE","Living","Rio de Janeiro"
"356",736.4,"conv_hge_walls","Base","SW","Dorm. 1","Rio de Janeiro"
"357",741.2,"conv_hge_walls","Base","SW","Dorm. 2","Rio de Janeiro"
"358",1175.2,"conv_hge_walls","Base","SW","Living","Rio de Janeiro"
"359",747.2,"conv_hge_walls","Base","W","Dorm. N","Rio de Janeiro"
"360",600.2,"conv_hge_walls","Base","W","Dorm. S","Rio de Janeiro"
"361",1429.4,"conv_hge_walls","Base","W","Living","Rio de Janeiro"
"362",270.5,"conv_hge_walls","Base","E","Dorm. N","São Paulo"
"363",186.2,"conv_hge_walls","Base","E","Dorm. S","São Paulo"
"364",737.1,"conv_hge_walls","Base","E","Living","São Paulo"
"365",423.1,"conv_hge_walls","Base","NE","Dorm. 1","São Paulo"
"366",476.3,"conv_hge_walls","Base","NE","Dorm. 2","São Paulo"
"367",923.9,"conv_hge_walls","Base","NE","Living","São Paulo"
"368",434.2,"conv_hge_walls","Base","NW","Dorm. 1","São Paulo"
"369",491.3,"conv_hge_walls","Base","NW","Dorm. 2","São Paulo"
