"seed","area","ratio","height","storey","azimuth","shell_wall","abs_wall","shell_roof","abs_roof","wwr_liv","wwr_dorm","u_window","shgc","open_factor","blind","balcony","facade","epw","phft"
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.4656640625,0,0,1,142,97.7838660578387
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.4656640625,0,0,1,142,94.5365296803653
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0.3859375,1,142,99.8550228310502
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0.3859375,1,142,98.4486301369863
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0.3859375,1,142,96.1461187214612
1,39.665625,1.2789453125,3.183828125,1,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,317,98.7869101978691
1,39.665625,1.2789453125,3.183828125,2,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,317,95.5057077625571
1,39.665625,1.2789453125,3.183828125,3,97.734375,7,0.216640625,4,0.500609375,0.1864765625,0.1978515625,3.5107265625,0.31592578125,0.5895703125,0,0,1,317,86.5456621004566
1,118.153125,1.2850390625,3.051796875,1,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,97.0863774733638
1,118.153125,1.2850390625,3.051796875,2,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,93.7397260273973
1,118.153125,1.2850390625,3.051796875,3,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,91.5490867579909
4,39.665625,1.2850390625,3.051796875,1,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,90.0197869101979
4,39.665625,1.2850390625,3.051796875,2,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,87.1533485540335
4,39.665625,1.2850390625,3.051796875,3,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,86.2804414003044
4,118.153125,1.2789453125,3.051796875,1,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,94.3424657534246
4,118.153125,1.2789453125,3.051796875,2,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,91.9444444444444
4,118.153125,1.2789453125,3.051796875,3,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,90.0681126331811
4,118.153125,1.2850390625,3.183828125,1,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,94.5936073059361
4,118.153125,1.2850390625,3.183828125,2,348.553125,4,0.551796875,4,0.212984375,0.8490703125,0.1793671875,3.7699140625,0.30668359375,0.4656640625,0,0.3859375,1,317,92.310502283105
