"seed","storey","area","ratio","height","azimuth","shell_wall","abs_wall","shell_roof","abs_roof","wwr_liv","wwr_dorm","u_window","shgc","open_factor","blind","balcony","facade","mirror","epw","targ","month"
3,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,52.3969534050179,12
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,11.7204301075269,1
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,27.3661983135511,2
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,16.0242070446785,3
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,34.8611111111111,4
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,99.2069892473118,5
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,100,6
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,99.8745519713262,7
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,99.7849462365591,8
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,94.4398148148148,9
