"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","nvar","model"
0.3,8,0,0.6,1,1,200,3.45532860386253,0.979053824097705,2.30902552889247,0.352133917239705,0.0042231134977315,0.218725583546943,13,"xgbt"
0.3,8,0,0.8,1,1,200,3.24344444911359,0.981613169142975,2.15932578365942,0.154243800129171,0.00175951571917289,0.0757071020778943,13,"xgbt"
0.4,8,0,0.6,1,1,200,3.91049360306474,0.973267679752203,2.56037247976909,0.113636935152617,0.00149816281158777,0.113126941877608,13,"xgbt"
0.4,8,0,0.8,1,1,200,3.17166749944489,0.982406491512153,2.11100082235747,0.0741394141496624,0.000851129363825642,0.0365867897947598,13,"xgbt"
0.3,10,0,0.6,1,1,200,3.65099079332686,0.976623129005121,2.35855894307891,0.487864642894504,0.00611324418569254,0.295767988273647,13,"xgbt"
0.3,10,0,0.8,1,1,200,3.92824333111829,0.972736793100303,2.46605674568812,0.634403419370105,0.00873328599657894,0.317308053315811,13,"xgbt"
0.4,10,0,0.6,1,1,200,3.55192092223937,0.977830683910229,2.30268489726518,0.412858121045408,0.00504554468071337,0.267949981708147,13,"xgbt"
0.4,10,0,0.8,1,1,200,3.32473595343369,0.980675134335789,2.15882471391382,0.030396723005412,0.000387512109103871,0.00146089698871262,13,"xgbt"
0.3,6,0,0.6,1,1,300,3.24103462183979,0.981676938312823,2.27852561486991,0.00808575867761915,0.000107561404934767,0.0226458865827982,13,"xgbt"
0.3,6,0,0.8,1,1,300,3.13567795629992,0.982825489527987,2.19822337157516,0.0787349999377087,0.000855676690926226,0.0588060952899823,13,"xgbt"
0.4,6,0,0.6,1,1,300,3.25384218586269,0.981487896169502,2.23585067498841,0.0697539578490713,0.000815007565064231,0.0315624866265235,13,"xgbt"
0.4,6,0,0.8,1,1,300,3.11964807564471,0.982986613715298,2.14696303435737,0.0427993813814446,0.000491552509746235,0.0180202441394693,13,"xgbt"
0.3,8,0,0.6,1,1,300,3.39186656420117,0.979812811018438,2.23775705388633,0.344586355476641,0.00405240061048956,0.205681655642058,13,"xgbt"
0.3,8,0,0.8,1,1,300,3.18529363993454,0.982260978919957,2.09657261891005,0.150501028321936,0.00169223387986312,0.0694710643281234,13,"xgbt"
0.4,8,0,0.6,1,1,300,3.86011777155983,0.973955444149572,2.50434407610677,0.0949429084890831,0.00122534075625148,0.0978325309065139,13,"xgbt"
0.4,8,0,0.8,1,1,300,3.14370750841111,0.982715477075794,2.07720463051032,0.0725368288698218,0.000826320184935617,0.0373786145637164,13,"xgbt"
0.3,10,0,0.6,1,1,300,3.63392355588709,0.976858797694165,2.33926182919635,0.484558383469527,0.00602905810180018,0.288583920548842,13,"xgbt"
0.3,10,0,0.8,1,1,300,3.91643283840909,0.972920069539977,2.44990199399529,0.627101534253078,0.00860300106823953,0.307551007996933,13,"xgbt"
0.4,10,0,0.6,1,1,300,3.55107122855804,0.977854012055862,2.29654909707871,0.404395167115474,0.00493085199911171,0.258972894192163,13,"xgbt"
0.4,10,0,0.8,1,1,300,3.3295922408467,0.980620620693859,2.16016706725799,0.0327227434643026,0.000415721020073776,0.00396153355477803,13,"xgbt"
0.3,6,0,0.6,1,1,400,3.10985630768847,0.98311198474211,2.14262324023069,0.00463856762281378,4.91192617183519e-05,0.0180483941047691,13,"xgbt"
0.3,6,0,0.8,1,1,400,3.01933218089801,0.984064827684214,2.07526341695794,0.0761892840844717,0.000788438241706647,0.0589179581464307,13,"xgbt"
0.4,6,0,0.6,1,1,400,3.17340662036084,0.982388943619183,2.15036366831969,0.0665026601033327,0.000764244730267386,0.0226855886707428,13,"xgbt"
0.4,6,0,0.8,1,1,400,3.05372664357628,0.983696052365304,2.07430274847714,0.0365523559389602,0.000419592747333875,0.0111029188238833,13,"xgbt"
0.3,8,0,0.6,1,1,400,3.36162870490724,0.980174270798516,2.20585161073525,0.336421069596297,0.00391832219830016,0.195151425960597,13,"xgbt"
